problem;object;metric;value;
GECKO_SIMPLE_flex30_g5;channel;fluidity;0.39;
GECKO_SIMPLE_flex30_g5;channel;makespan;64.50;
GECKO_SIMPLE_flex30_g5;channel,disruptibility;0.00;
GECKO_SIMPLE_flex30_g5;energy;fluidity;0.60;
GECKO_SIMPLE_flex30_g5;energy;makespan;64.50;
GECKO_SIMPLE_flex30_g5;energy,disruptibility;0.00;
GECKO_SIMPLE_flex30_g5;change_over;fluidity;0.42;
GECKO_SIMPLE_flex30_g5;change_over;makespan;64.50;
GECKO_SIMPLE_flex30_g5;change_over,disruptibility;0.00;
GECKO_SINGLE_CROSS_flex30_g5;channel;fluidity;0.32;
GECKO_SINGLE_CROSS_flex30_g5;channel;makespan;71.00;
GECKO_SINGLE_CROSS_flex30_g5;channel,disruptibility;0.00;
GECKO_SINGLE_CROSS_flex30_g5;energy;fluidity;0.52;
GECKO_SINGLE_CROSS_flex30_g5;energy;makespan;71.00;
GECKO_SINGLE_CROSS_flex30_g5;energy,disruptibility;0.00;
GECKO_SINGLE_CROSS_flex30_g5;change_over;fluidity;0.29;
GECKO_SINGLE_CROSS_flex30_g5;change_over;makespan;71.00;
GECKO_SINGLE_CROSS_flex30_g5;change_over,disruptibility;0.00;
